Genes,rho_SkM,rho_AT
FCER1G,-0.0423076923076923,0.139328063241107
AXL,-0.356581196581197,-0.249565217391304
ADSL,0.153846153846154,-0.438735177865613
CLIP1,-0.0953846153846154,-0.271739130434783
SERPINB1,-0.0905982905982906,-0.238260869565217
SDHA,0.174017094017094,-0.255652173913043
CORO1A,-0.267008547008547,-0.325217391304348
GDI1,-0.318885448916409,0.308823529411765
PRKAR2B,-0.0475213675213675,0.219130434782609
DNAJA1,-0.220588235294118,0.132352941176471
UQCRC1,-0.0230769230769231,-0.0800395256916996
HIBADH,0.12280701754386,0
HNRNPH1,-0.0859683794466403,-0.462337662337662
YWHAB,-0.0892307692307692,-0.226086956521739
STIP1,-0.129565217391304,0.132693393562959
L1CAM,0.212450592885376,-0.159796725014116
PRDX2,0.106766917293233,-0.195046439628483
CDH5,-0.139145299145299,-0.276521739130435
KIF5B,-0.14,0.0849802371541502
RNASE4,-0.0469230769230769,-0.00592885375494071
SHMT2,0.21203007518797,-0.0526315789473684
EPHX2,0.222556390977444,0.0964912280701754
HSPA1L,-0.248710010319917,0.198529411764706
HSPA4,-0.428461538461538,-0.223320158102767
PRSS3,-0.162223274020479,0.0178731081199269
SERPINB6,-0.182307692307692,0.111660079051383
THBS4,0.132991452991453,-0.208695652173913
SAA4,-0.0932303903551343,-0.0573913043478261
FBN1,0.238974358974359,-0.160869565217391
MYH9,0.314188034188034,0.458260869565217
COPB2,0.307692307692308,0.183794466403162
ADD1,-0.191794871794872,-0.294782608695652
BSG,0.132467532467532,-0.456140350877193
PPM1A,0.285470085470085,0.000869565217391304
IGFALS,0.0194871794871795,0.29304347826087
KRT2,-0.144529574378955,-0.408248290463863
HMGCL,0.147233201581028,-0.276623376623377
FLT4,0.401025641025641,-0.109565217391304
PSMC2,0.235384615384615,0.337944664031621
MAP2K2,0.287719298245614,0.259029927760578
LONP1,-0.370485036119711,0.137254901960784
SERPINF1,0.0823931623931624,-0.0973913043478261
DLST,0.127470355731225,0.0012987012987013
TAGLN2,-0.524786324786325,-0.109565217391304
SNCA,0.167863247863248,0.011304347826087
ATP6V1A,0.252631578947368,-0.145510835913313
HSPA9,0.334017094017094,0.403478260869565
COL18A1,-0.155844155844156,-0.226315789473684
DDOST,0.0415384615384615,-0.0968379446640316
GP5,0.281367521367521,-0.051304347826087
CCT6A,0.0331623931623932,-0.04
MPL,-0.0558441558441558,0.037593984962406
PSMB10,-0.407518796992481,-0.0421052631578947
STAT3,0.381880341880342,0.1
MDH1,0.296181630546956,-0.431372549019608
MDH2,0.314871794871795,0.0895652173913043
HADHA,0.0905982905982906,0.534782608695652
PMEL,0.0208547008547009,-0.233913043478261
EIF2S3,0.125470085470085,0.198260869565217
PTGDS,-0.0584615384615385,0.145217391304348
UBA7,-0.00395256916996048,-0.0962406015037594
PPP1R2,0.176623376623377,-0.292982456140351
CSK,-0.26974358974359,-0.132173913043478
ACTR1B,-0.00846153846153846,-0.197628458498024
STAT1,0.462337662337662,0.132467532467532
STAT5A,0.115652173913043,0.0513833992094862
PIK3CB,-0.257142857142857,0.0706766917293233
MTOR,0.0781954887218045,0.0245614035087719
PI4KA,0.143986448334274,0.180519480519481
EPS15,0.231538461538462,-0.174901185770751
CASP3,-0.0485036119711042,0.279411764705882
LRPPRC,-0.148503670242801,-0.0150375939849624
WAS,-0.160769230769231,0.229249011857707
HTT,0.48695652173913,0.115753811405985
ECE1,0.291623931623932,0.185217391304348
MCAM,-0.187008547008547,-0.00173913043478261
GRK6,0.027972027972028,-0.048951048951049
BTD,-0.155555555555556,0.163478260869565
GPD2,-0.137777777777778,0.322608695652174
PSMC4,0.0607692307692308,0.149209486166008
VDAC2,0.49,0.0256916996047431
ACADSB,0.0113519091847265,0.122549019607843
USP5,-0.0256410256410256,-0.175652173913043
CRKL,0.267532467532468,0.326315789473684
