Genes,est_ep,q_ep,est_se,q_se
JCHAIN,0.466079210383251,0.505670781741117,0.0224576923076927,0.914320189782892
KIT,0.43958951183059,0.0620654056491741,-0.0260423076923077,0.808438575877073
KLKB1,0.316038581242655,0.28352549610646,-0.0267307692307687,0.707819985599655
L1CAM,0.0797767525000906,0.676902598048121,-0.183911538461538,0.0550242040286889
LAMB1,0.284710183023507,0.170001775730506,0.00698461538461537,0.956403952230471
LAMP1,0.489765864493865,0.234248951465763,-0.0448076923076927,0.806074646570089
LBP,0.163432437713477,0.418899443916715,-0.134615384615384,0.517284316214965
LCAT,0.526790732157859,0.12023933487706,-0.0617076923076925,0.268387597272774
LCP1,0.0780354898541721,0.661426161907043,-0.168834615384616,0.582160916683428
LDLR,0.410555112544033,0.0475063818923366,-0.149388461538462,0.0348826637128609
LDLRAP1,0.0682337387966287,0.752518932909916,0.0526115384615385,0.931049405168608
LGALS3BP,0.0904869186371719,0.552369353990151,-0.0267192307692308,0.808438575877073
LONP1,-0.0916129106393401,0.689684845748348,0.00525769230769252,0.991818929095392
LPA,0.233403377457838,0.123353914613882,0.190496153846153,0.614930770860726
LPL,0.218902124310443,0.36259480839829,0.0599076923076919,0.83570518767792
LPP,-0.0766198851847372,0.618162006784789,0.0119076923076924,0.9877287018047
LRG1,0.282806885476844,0.575393032949717,-0.0485269230769228,0.823201457863306
LRP1,0.312745302757951,0.0676177270041347,-0.00330384615384706,0.984059206879958
LRRC59,-0.201225462236158,0.574469824242469,-0.0244038461538462,0.963690931527136
LRRFIP1,-0.210368835923895,0.226084585343282,0.331007692307693,1.85617954187231e-05
LSM1,-0.298194251893799,0.336825616971968,0.0582653846153848,0.796703757523892
LTBP2,0.477308346654165,0.0487297065171072,-0.0574807692307693,0.645436733647517
LYN,-0.0660384545227229,0.653575050213679,0.145407692307692,0.436758322096631
M6PR,-0.140031045964245,0.253339196069789,-0.0414423076923077,0.679223115413848
MANF,-0.047846672949637,0.752305488807414,-0.0403923076923084,0.728398454482302
MANSC1,0.214322908633674,0.260925469773345,0.0470846153846154,0.643159045872698
MAP3K5,-0.325739899407765,0.123585811345096,-0.0144846153846141,0.963690931527136
MAPKAPK2,-0.0199671785263298,0.937213321386988,0.091407692307693,0.7433857626248
MARS1,-0.111566397652,0.494160198818327,-0.0301346153846153,0.810138410672706
MASP1,0.0686861674611098,0.644518999185045,0.0436538461538462,0.665766317828312
MAVS,-0.239968518068623,0.331110021162943,-0.188046153846154,0.0320339648949157
MBL2,0.176526130962292,0.443476700548551,-0.0802846153846156,0.387032046851224
MCAM,0.433357599181032,0.108629589872426,0.0569999999999999,0.465667866288212
MDH1,-0.00477350054278989,0.990588118548315,-0.0315192307692307,0.127702859083014
MENT,0.458441600125049,0.145415481295363,-0.00181153846153848,0.9877287018047
MEP1B,0.608664768072802,0.00198417263180398,-0.103592307692308,0.685753153549623
MFAP4,0.293269968060985,0.447571872616141,-0.0306923076923077,0.807863899142455
MICALL2,0.334421577289477,0.164117665441389,-0.186638461538462,0.480883118604605
MINK1,-0.0297259052976447,0.849878745258103,0.176834615384616,0.67868447813308
MMP9,-0.0227253799974252,0.919285711063804,-0.146165384615383,0.178241881231966
MPIG6B,0.264296249951118,0.550812055804467,-0.378780769230768,4.13409718921293e-06
MPRIP,0.0602813874211396,0.62374920137828,-0.12005,0.568405053385556
MST1,0.358802378082839,0.288314437832152,-0.0317576923076922,0.676281194053184
MTDH,-0.0934657228933397,0.531785244397496,0.187753846153846,0.31027497009732
MTPN,-0.262005930482041,0.189451950024051,0.0110692307692307,0.962470473160184
MTSS1,0.0171955782508955,0.937952575049008,-0.310573076923076,0.0567602863205021
MYCBP2,-0.0950232542811393,0.51343474645371,0.23055,0.0808147003150771
MYH9,-0.382477306746195,0.0688707459128668,0.022630769230769,0.912094572131848
MYO9B,-0.0662790892621287,0.500083189864658,-0.104623076923077,0.538159474837548
NAP1L4,0.0399457338308338,0.874302185419725,0.173215384615384,0.394380673805792
NCAM1,0.370202217996261,0.0131670339361277,-0.0563538461538463,0.447059581411471
