Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
ATP2A2,0.239285840176711,0.580618562105135,0.291393311862563,0.780887079944629
WAS,0.122307676535277,0.25776242295493,0.292689493962704,0.834436106154181
LTBP2,0.118280866041322,0.251430222486663,0.293451940616982,0.878878212654917
FAT1,0.470331722962156,0.881546240170459,0.297005508301917,0.43444995962927
FAM114A2,0.0492252074828413,0.065270404640409,0.29759052944847,0.417746624163563
COL14A1,0.549615053041506,0.614928782800617,0.297770885498282,0.320999548491712
GP5,0.0274674869465315,0.026778662950557,0.300249868205125,0.277449108947149
IGLV3-9,0.303749327227855,0.720500631623654,0.303904495792034,0.683490536287718
GAS6,0.995628316190238,0.214197498325256,0.307674109580048,0.113148643329565
AP3D1,0.683654495736294,0.631770177429092,0.311090454948153,0.297571357109821
TGFBI,0.145975186021183,0.301129454269264,0.312252664725648,0.902404538246206
ALDH16A1,0.95339324822314,0.189853039686809,0.313006536839106,0.103372178720699
ETFA,0.437803101862467,0.980923627677448,0.313293418084961,0.506145776754658
LCAT,0.730988634526244,0.493382158344177,0.315535882050137,0.247158964737279
NIPSNAP3A,0.479083959352373,0.974129899801825,0.317321651194976,0.466420620794362
C8G,0.212003855627996,0.462574321954879,0.32012691418583,0.920996931447641
JAM3,0.713807155353281,0.546666609939689,0.32380418343319,0.276223839102248
USP15,0.634099204411132,0.741763437382207,0.324208476648185,0.354096514847069
DLD,0.805929820692922,0.4402058006922,0.324600385892989,0.223973743107607
HUWE1,0.288446547820051,0.65439603367003,0.324898334136965,0.773826151466957
ARPC1B,0.174881959205422,0.358676301272577,0.326300270238035,0.959708886045231
TDRP,0.785349336869879,0.107485409351852,0.326780287917853,0.0663429164041858
RTN4,0.334515292856739,0.745714857623485,0.32986767206497,0.691069692269408
APOA2,0.589774648675962,0.753331442532334,0.33145862455855,0.383641730022602
IGHV2-26,0.71295179903097,0.695798324214047,0.332350654547809,0.328279636066731
YWHAZ,0.330251600825051,0.730553253296961,0.332854212089782,0.705159494971761
CYFIP1,0.322660368589408,0.707999547662489,0.335679396872361,0.724844224932253
ADAMTSL2,0.417810240955367,0.917513936793499,0.336217729916619,0.579732576773081
CDH15,0.881233437653071,0.172193456150979,0.338187618862321,0.102259672669069
NBAS,0.622808400717058,0.0712826350760917,0.342964647717679,0.0515796879791407
MCU,0.717237231799083,0.582924855347584,0.345742760590349,0.305503586943833
MPL,0.503427559701155,0.0587608793320404,0.345828632408429,0.0489029121537422
CD63,0.395056899541266,0.921345650476816,0.346923783191782,0.646802189523782
