Genes,est_B2,est_B3,p_time,n_ID,q_time
SLC25A5,0.0577556022803437,-0.151392773187326,0.250808821241517,26,0.541604340850138
PCDH1,-0.177363454183019,0.0849438922943949,0.251168743234355,26,0.541604340850138
CLEC11A,-0.286671033179401,-0.0976338457890773,0.25163397062209,26,0.541604340850138
CASS4,0.0681713468213884,-0.0562080892231723,0.251641906394953,26,0.541604340850138
KTN1,0.0297436399689836,-0.0618777001504067,0.251849663208241,26,0.541604340850138
KALRN,0.116161700181195,0.060427519717266,0.252244183556942,26,0.541668868158404
ITGB5,0.0470139442475294,-0.117076080647388,0.253282545481141,26,0.543113798823918
APOBR,-0.191862895450464,-0.0166148459939552,0.254876107472774,26,0.545334684092738
P3H1,-0.113620691485235,-0.115338464472247,0.255052224390615,26,0.545334684092738
PTTG1IP,-0.215835083353115,-0.0204359776630255,0.256388979098117,24,0.547405205373278
CTSD,-0.1800082877022,0.0241219157993144,0.257435710741179,26,0.548277188790678
PSMA1,-0.0370309282432661,0.111434060294214,0.257852082654937,26,0.548277188790678
RAB5B,0.0649463410566837,-0.0809299487209054,0.257904276557661,26,0.548277188790678
ADD3,0.0226094435199219,-0.0672814416814004,0.259296945658764,26,0.550450373212747
RPSA,-0.132671101147987,0.158356578744746,0.260250036312091,26,0.551685526333476
